State,Rank,Make/Model,Model Year,Thefts
Connecticut,6,Jeep Cherokee/Grand Cherokee,2000,110
New Hampshire,1,Honda Civic,1997,34
Hawaii,6,Toyota Camry,2000,55
New Hampshire,9,GMC Pickup (Full Size),2007,9
New Mexico,6,GMC Pickup (Full Size),2006,180
Virginia,4,Toyota Camry,2014,181
Indiana,2,Chevrolet Pickup (Full Size),1994,619
Vermont,3,Hyundai Elantra,2015,7
Washington,7,Chevrolet Pickup (Full Size),1999,562
Wyoming,4,Jeep Cherokee/Grand Cherokee,2000,10
Idaho,8,Ford Pickup (Small Size),1991,19
West Virginia,3,Jeep Cherokee/Grand Cherokee,1996,36
Wisconsin,7,Toyota Camry,2007,191
Mississippi,8,Dodge Pickup (Full Size),2005,85
Mississippi,2,Ford Pickup (Full Size),2006,278
Virginia,2,Ford Pickup (Full Size),2004,205
Delaware,7,Ford Taurus,2002,22
District Of Columbia,7,Ford Pickup (Full Size),1997,49
Georgia,2,Ford Pickup (Full Size),2006,954
Michigan,7,Chevrolet Malibu,2013,451
New Mexico,1,Honda Civic,1998,572
California,4,Toyota Camry,1991,"5,345"
Michigan,6,Chevrolet Trailblazer,2007,462
North Dakota,3,Dodge Pickup (Full Size),1998,49
Alabama,1,Chevrolet Pickup (Full Size),2005,499
Georgia,3,Chevrolet Pickup (Full Size),1999,948
South Carolina,9,Nissan Altima,2015,155
New Jersey,3,Dodge Caravan,2002,427
Ohio,8,Honda Civic,2000,325
Oregon,1,Honda Accord,1994,"1,491"
West Virginia,6,Toyota Camry,2014,20
Alaska,10,Chevrolet Pickup (Small Size),1998,20
Pennsylvania,6,Chevrolet Impala,2006,224
Texas,8,Toyota Camry,2014,"1,030"
Michigan,10,Ford Fusion,2014,355
Massachusetts,10,Chevrolet Pickup (Full Size),2015,95
New Hampshire,7,Toyota Camry,1999,13
New Mexico,5,Dodge Pickup (Full Size),2003,269
South Dakota,4,Dodge Pickup (Full Size),2001,23
New Jersey,10,Ford Econoline E350,2003,184
Wisconsin,3,Honda Accord,1997,450
Nevada,9,Toyota Corolla,2014,151
Arkansas,9,Chevrolet Malibu,2006,72
Missouri,6,Jeep Cherokee/Grand Cherokee,1998,289
New Mexico,9,Chevrolet Pickup (Small Size),1998,101
New York,6,Ford Econoline E350,2011,339
North Dakota,6,Honda Accord,1990,23
Vermont,5,GMC Pickup (Full Size),2007,5
Washington,5,Toyota Camry,1989,602
Florida,4,Toyota Camry,2014,"1,089"
Ohio,10,Dodge Pickup (Full Size),2005,297
Maine,7,Ford Focus,2001,8
Utah,4,Ford Pickup (Full Size),2006,238
Arizona,8,Toyota Camry,1999,210
Colorado,2,Honda Accord,1997,"1,167"
Missouri,9,Chevrolet Malibu,2015,243
Alaska,3,GMC Pickup (Full Size),1997,58
Georgia,8,Dodge Pickup (Full Size),2003,452
Wisconsin,2,Honda Civic,1998,470
Maryland,4,Honda Civic,2012,313
Missouri,10,Toyota Camry,2014,236
Oregon,4,Ford Pickup (Full Size),2004,295
District Of Columbia,2,Honda Accord,1997,132
Arizona,9,Jeep Cherokee/Grand Cherokee,1994,207
Nebraska,4,Honda Accord,1996,157
Oklahoma,10,Chevrolet Malibu,2009,119
Tennessee,2,Ford Pickup (Full Size),2004,468
Florida,8,Chevrolet Impala,2015,542
Iowa,6,Jeep Cherokee/Grand Cherokee,2005,65
Missouri,7,Honda Accord,1997,274
North Carolina,4,Honda Civic,2000,350
Florida,3,Nissan Altima,2015,"1,098"
Florida,7,Chevrolet Pickup (Full Size),2015,786
Indiana,7,Honda Accord,1994,186
Iowa,4,Dodge Pickup (Full Size),2004,93
Ohio,1,Dodge Caravan,2003,679
Rhode Island,4,Nissan Maxima,2000,45
District Of Columbia,3,Jeep Cherokee/Grand Cherokee,2001,109
Ohio,7,Chevrolet Malibu,2015,343
South Dakota,1,Chevrolet Pickup (Full Size),1994,52
Vermont,1,Chevrolet Pickup (Full Size),2001,15
Idaho,6,GMC Pickup (Full Size),1992,32
Michigan,4,Dodge Caravan,2003,528
Oklahoma,7,Chevrolet Impala,2005,181
Oregon,9,Honda CR-V,1999,158
Maine,5,Toyota Corolla,2009,13
Hawaii,7,Toyota 4Runner,1997,45
Idaho,8,Toyota Camry,1997,19
Nebraska,9,Toyota Camry,2000,49
North Carolina,3,Chevrolet Pickup (Full Size),2003,370
Arkansas,6,Nissan Altima,2015,89
Idaho,7,Ford Explorer,2002,22
Minnesota,2,Honda Accord,1997,524
Arkansas,4,Dodge Pickup (Full Size),1999,127
Colorado,6,Dodge Pickup (Full Size),2001,308
Kansas,7,Chevrolet Impala,2004,98
Arizona,5,Dodge Pickup (Full Size),2001,428
Indiana,5,Chevrolet Malibu,2005,238
Missouri,3,Dodge Caravan,2003,465
North Dakota,9,Pontiac Grand Am,2000,17
Texas,6,Honda Civic,2000,"1,371"
Wyoming,6,GMC Yukon,2002,8
Nebraska,1,Chevrolet Pickup (Full Size),1996,196
North Carolina,10,Ford Explorer,2003,185
South Carolina,2,Honda Accord,1996,458
Nebraska,10,Chevrolet Pickup (Small Size),1998,43
New York,9,Toyota Corolla,2010,280
Delaware,9,Toyota Camry,2012,20
District Of Columbia,9,Chevrolet Impala,2013,40
Hawaii,8,Nissan Frontier,2004,44
Nebraska,5,Dodge Pickup (Full Size),2001,102
New Mexico,8,Toyota Camry,1999,128
Pennsylvania,1,Honda Accord,1997,544
West Virginia,4,Chevrolet Pickup (Small Size),1999,29
District Of Columbia,4,Toyota Camry,2014,95
Florida,5,Honda Accord,1997,"1,025"
Illinois,1,Dodge Caravan,2000,"1,054"
Kansas,6,GMC Pickup (Full Size),1999,113
Maine,8,Chevrolet Cobalt,2005,7
Mississippi,4,Chevrolet Impala,2006,114
Colorado,10,Toyota Corolla,2014,170
Maine,1,Chevrolet Pickup (Full Size),2001,29
Minnesota,3,Chevrolet Pickup (Full Size),1999,329
Rhode Island,9,Honda CR-V,1999,27
West Virginia,8,GMC Pickup (Full Size),2011,18
Maryland,8,Jeep Cherokee/Grand Cherokee,2015,194
Texas,9,Nissan Altima,2012,957
Washington,3,Ford Pickup (Full Size),2004,745
Wisconsin,4,Chrysler Town & Country,2002,313
Oklahoma,1,Chevrolet Pickup (Full Size),1994,"1,143"
Oregon,10,Jeep Cherokee/Grand Cherokee,1994,141
Hawaii,5,Toyota Corolla,2004,64
West Virginia,5,Chevrolet Impala,2006,24
New Hampshire,9,Toyota Corolla,1999,9
Tennessee,1,Chevrolet Pickup (Full Size),1997,693
District Of Columbia,5,Toyota Corolla,2010,70
Hawaii,10,Dodge Pickup (Full Size),2001,37
Idaho,3,Honda Accord,1996,66
Georgia,5,Toyota Camry,2014,568
Louisiana,3,GMC Pickup (Full Size),2006,253
North Carolina,5,Toyota Camry,2014,291
North Carolina,1,Honda Accord,1997,609
Vermont,5,Ford Pickup (Small Size),2002,5
Virginia,10,Chevrolet Impala,2006,105
Alabama,7,Dodge Pickup (Full Size),1998,138
Michigan,9,Jeep Cherokee/Grand Cherokee,2000,407
New York,3,Toyota Camry,2014,500
Wisconsin,1,Dodge Caravan,2002,"1,035"
Wisconsin,9,Honda CR-V,2000,172
Kansas,1,Chevrolet Pickup (Full Size),1999,439
Mississippi,3,Nissan Altima,2015,128
New Jersey,9,Nissan Maxima,1998,195
Alabama,8,Ford Mustang,2002,122
Iowa,9,Dodge Caravan,2005,56
Maine,4,Ford Pickup (Full Size),2004,15
Vermont,5,Subaru Impreza,2002,5
Alabama,4,Chevrolet Impala,2004,191
Idaho,5,Dodge Pickup (Full Size),2001,45
Louisiana,1,Chevrolet Pickup (Full Size),2006,671
Michigan,1,Chevrolet Impala,2008,733
New Jersey,8,Toyota Camry,2014,232
Rhode Island,6,Nissan Altima,2013,38
Arizona,1,Honda Accord,1997,"1,072"
Maine,3,Jeep Cherokee/Grand Cherokee,2004,18
District Of Columbia,8,Chevrolet Pickup (Full Size),1999,41
Illinois,3,Honda Civic,2000,566
Massachusetts,1,Honda Civic,2000,426
Michigan,2,Chevrolet Pickup (Full Size),1999,585
North Carolina,6,Nissan Altima,2015,249
Tennessee,6,GMC Pickup (Full Size),1996,201
Kentucky,2,Ford Pickup (Full Size),2001,241
Texas,1,Ford Pickup (Full Size),2006,"7,897"
Texas,4,Honda Accord,1997,"1,626"
Massachusetts,2,Honda Accord,1997,402
Utah,2,Honda Civic,1998,915
Utah,8,Acura Integra,1995,103
Vermont,5,Nissan Sentra,2012,5
Arizona,7,GMC Pickup (Full Size),2015,246
Iowa,1,Chevrolet Pickup (Full Size),2002,258
Minnesota,8,Dodge Caravan,2003,143
South Dakota,7,Chevrolet Pickup (Small Size),1997,17
Connecticut,8,Honda CR-V,1998,92
Massachusetts,8,Jeep Cherokee/Grand Cherokee,1999,143
New Hampshire,6,Ford Focus,2007,14
Virginia,6,Chevrolet Pickup (Full Size),2003,144
South Carolina,7,Dodge Pickup (Full Size),2001,172
South Dakota,4,Honda Civic,1996,23
Colorado,3,Ford Pickup (Full Size),2005,595
Minnesota,7,Chevrolet Impala,2004,171
Missouri,4,Dodge Pickup (Full Size),2001,410
Illinois,7,Ford Pickup (Full Size),2006,392
Montana,6,Chevrolet Impala,2001,31
Nebraska,8,GMC Pickup (Full Size),2015,61
North Carolina,2,Ford Pickup (Full Size),2004,424
Delaware,1,Honda Civic,2000,53
North Carolina,9,Toyota Corolla,2014,190
Oklahoma,9,Ford Explorer,2002,123
Minnesota,1,Honda Civic,1998,676
New Hampshire,4,Ford Pickup (Full Size),2002,17
Alaska,8,Jeep Cherokee/Grand Cherokee,1999,28
California,10,Honda CR-V,1999,"2,033"
Delaware,6,Nissan Altima,2006,23
Missouri,5,Chevrolet Impala,2008,369
Virginia,9,Jeep Cherokee/Grand Cherokee,2001,107
Connecticut,5,Toyota Camry,2014,131
New Jersey,5,Ford Pickup (Full Size),2006,295
Louisiana,5,Dodge Pickup (Full Size),2003,222
Minnesota,10,Acura Integra,1996,95
Pennsylvania,4,Toyota Camry,2014,269
Kentucky,1,Chevrolet Pickup (Full Size),1998,250
Nebraska,3,Honda Civic,1997,165
Pennsylvania,2,Honda Civic,1998,539
Georgia,4,Honda Civic,2000,653
Kentucky,5,Toyota Corolla,2014,110
Oregon,5,Toyota Camry,1990,221
Oregon,7,Acura Integra,1994,209
Utah,3,Subaru Legacy,1996,262
Florida,2,Honda Civic,2000,"1,127"
Kansas,2,Ford Pickup (Full Size),2003,415
Wyoming,5,Toyota Camry,1997,9
New York,8,Honda CR-V,1997,283
Oklahoma,2,Ford Pickup (Full Size),2004,780
Texas,3,Dodge Pickup (Full Size),2004,"2,898"
Washington,6,Subaru Legacy,1996,599
Connecticut,4,Nissan Altima,1997,143
Maryland,2,Honda Accord,2008,675
North Dakota,1,Chevrolet Pickup (Full Size),2002,127
Wisconsin,5,Chevrolet Impala,2007,232
Arkansas,3,GMC Pickup (Full Size),1997,174
Arkansas,10,Chevrolet Tahoe,2003,68
Alabama,6,GMC Pickup (Full Size),1999,152
Idaho,1,Ford Pickup (Full Size),2004,108
New Mexico,7,Jeep Cherokee/Grand Cherokee,1994,149
Rhode Island,5,Toyota Corolla,2014,40
West Virginia,1,Ford Pickup (Full Size),2003,87
Wisconsin,8,Dodge Intrepid,2002,179
Oregon,3,Subaru Legacy,1998,377
Kansas,8,Dodge Caravan,2002,89
New Jersey,1,Honda Accord,1997,844
Wisconsin,8,Chevrolet Malibu,2015,179
Kansas,8,Jeep Cherokee/Grand Cherokee,2000,89
Idaho,2,Chevrolet Pickup (Full Size),1999,76
Maryland,3,Toyota Camry,2014,347
Wyoming,6,Honda Accord,1997,8
Arkansas,8,Chevrolet Impala,2012,76
Indiana,8,Pontiac Grand Prix,2004,183
Florida,10,Nissan Maxima,2014,479
New Hampshire,8,Jeep Cherokee/Grand Cherokee,2000,11
Oregon,2,Honda Civic,1998,"1,276"
Washington,9,Toyota Corolla,2010,332
Wyoming,4,GMC Pickup (Full Size),2007,10
Pennsylvania,10,Chevrolet Malibu,2015,159
South Carolina,8,Chevrolet Impala,2008,166
South Dakota,2,Ford Pickup (Full Size),2001,47
Utah,6,Dodge Pickup (Full Size),2012,117
Maryland,9,Chevrolet Pickup (Full Size),1999,192
Hawaii,9,Nissan Altima,2004,42
Kentucky,9,Dodge Pickup (Full Size),2001,93
Montana,4,GMC Pickup (Full Size),2008,55
New Jersey,6,Nissan Altima,2014,291
Nevada,10,Dodge Pickup (Full Size),2005,148
North Dakota,5,Chevrolet Impala,2015,27
Wyoming,2,Ford Pickup (Full Size),2000,29
Maryland,10,Hyundai Sonata,2013,169
Vermont,2,Honda Accord,2002,8
Arizona,4,Ford Pickup (Full Size),2006,772
New Jersey,4,Nissan Sentra,1998,340
Connecticut,1,Honda Accord,1997,534
Connecticut,9,Dodge Caravan,2000,79
Georgia,10,Dodge Caravan,2002,425
Arkansas,7,Toyota Camry,2013,82
Tennessee,3,Honda Accord,1996,267
Illinois,2,Chevrolet Impala,2008,579
California,7,Toyota Corolla,2014,"3,339"
Delaware,4,Ford Pickup (Full Size),1999,31
Illinois,4,Honda Accord,1997,481
Nebraska,6,Jeep Cherokee/Grand Cherokee,1999,70
Texas,7,Chevrolet Tahoe,2004,"1,148"
Virginia,3,Honda Civic,2013,200
Iowa,3,Chevrolet Impala,2005,101
Oklahoma,3,Dodge Pickup (Full Size),2001,419
Alabama,3,Toyota Camry,2014,205
Iowa,2,Ford Pickup (Full Size),2001,198
Louisiana,4,Toyota Camry,2007,224
Washington,1,Honda Accord,1996,"3,757"
Maryland,7,Toyota Corolla,2014,204
North Dakota,2,Ford Pickup (Full Size),1997,101
Ohio,4,Jeep Cherokee/Grand Cherokee,2000,467
Utah,7,Subaru Impreza,1997,106
Louisiana,7,Honda Accord,2008,209
California,2,Honda Civic,1998,"28,045"
Montana,1,Chevrolet Pickup (Full Size),1999,165
New York,10,Jeep Cherokee/Grand Cherokee,2015,263
California,6,Acura Integra,1994,"4,273"
Colorado,8,Acura Integra,1994,208
Indiana,3,Chevrolet Impala,2004,423
Ohio,3,Ford Pickup (Full Size),2004,540
Utah,10,Nissan Altima,1997,97
California,1,Honda Accord,1996,"28,345"
Louisiana,10,Chevrolet Tahoe,2007,114
Kansas,4,Honda Civic,2000,220
Kentucky,4,Chevrolet Impala,2005,118
Maine,2,GMC Pickup (Full Size),1993,26
South Carolina,10,Ford Explorer,2002,146
Connecticut,10,Acura TL,2003,76
Mississippi,1,Chevrolet Pickup (Full Size),1994,286
South Dakota,3,Chevrolet Impala,2004,24
District Of Columbia,9,Chrysler 300/300M,2005,40
Maine,6,Honda Civic,2009,11
Georgia,9,Jeep Cherokee/Grand Cherokee,2001,449
Louisiana,2,Ford Pickup (Full Size),2006,584
Oklahoma,4,GMC Pickup (Full Size),1994,304
Rhode Island,1,Honda Accord,1997,101
Alabama,4,Nissan Altima,2014,191
Alaska,7,Ford Explorer,1994,31
Arkansas,1,Chevrolet Pickup (Full Size),2004,402
Colorado,5,Chevrolet Pickup (Full Size),2000,450
Delaware,3,Chevrolet Pickup (Full Size),2005,36
Florida,6,Toyota Corolla,2014,914
Maryland,1,Dodge Caravan,2003,727
Montana,9,Toyota Camry,2015,23
Nevada,7,Nissan Altima,1997,207
Kansas,3,Honda Accord,1996,319
Rhode Island,10,Toyota Avalon,2000,18
Rhode Island,7,Ford Pickup (Full Size),2003,36
Indiana,6,GMC Pickup (Full Size),1995,192
Montana,10,Ford Pickup (Small Size),2000,22
Pennsylvania,3,Ford Pickup (Full Size),2006,303
Alaska,5,Honda Accord,1993,46
Indiana,9,Ford Taurus,2003,182
Rhode Island,2,Honda Civic,1998,95
Wyoming,1,Chevrolet Pickup (Full Size),2007,32
Louisiana,6,Nissan Altima,2014,215
Michigan,3,Ford Pickup (Full Size),2006,530
Michigan,8,Pontiac Grand Prix,2004,418
Tennessee,5,Chevrolet Impala,2007,213
West Virginia,7,Ford Taurus,1995,19
Missouri,2,Chevrolet Pickup (Full Size),2000,783
New Mexico,3,Honda Accord,1994,545
New Mexico,4,Chevrolet Pickup (Full Size),2006,483
Delaware,8,Toyota Corolla,2010,21
Illinois,10,Nissan Altima,2014,326
Oklahoma,5,Honda Civic,1998,292
Vermont,4,Subaru Legacy,1999,6
California,8,Nissan Sentra,1997,"2,555"
California,9,Nissan Altima,1997,"2,281"
Hawaii,2,Honda Accord,1994,180
West Virginia,2,Chevrolet Pickup (Full Size),2000,76
Nevada,8,Nissan Sentra,2014,200
Arizona,3,Chevrolet Pickup (Full Size),2004,850
New Hampshire,2,Honda Accord,1996,20
Colorado,1,Honda Civic,1997,"1,380"
Connecticut,3,Nissan Maxima,1998,184
Minnesota,9,Toyota Corolla,2010,109
Montana,3,Dodge Pickup (Full Size),2006,78
Nevada,4,Ford Pickup (Full Size),2006,279
South Dakota,5,GMC Pickup (Full Size),1994,22
Arizona,6,Nissan Altima,2015,269
California,3,Chevrolet Pickup (Full Size),2006,"6,048"
Minnesota,6,Honda CR-V,1999,190
Iowa,9,Pontiac Grand Prix,1999,56
Kentucky,6,Honda Accord,1997,108
New Jersey,7,Jeep Cherokee/Grand Cherokee,2000,286
Kentucky,3,Toyota Camry,1999,178
Nebraska,7,Chevrolet Impala,2006,68
Vermont,2,Ford Pickup (Full Size),2010,8
Delaware,2,Honda Accord,2004,43
District Of Columbia,1,Dodge Caravan,2002,167
Indiana,1,Ford Pickup (Full Size),2005,659
Mississippi,5,GMC Pickup (Full Size),2000,103
Tennessee,7,Honda Civic,2000,198
Connecticut,7,Toyota Corolla,1999,99
North Dakota,4,GMC Pickup (Full Size),2006,37
Alaska,2,Ford Pickup (Full Size),2004,95
Alaska,4,Honda Civic,2000,56
California,5,Ford Pickup (Full Size),2006,"4,504"
Georgia,6,Chevrolet Impala,2008,512
Ohio,2,Chevrolet Pickup (Full Size),1999,579
Mississippi,10,Chevrolet Tahoe,2005,68
New York,7,Nissan Maxima,1998,328
South Carolina,5,Toyota Camry,2014,183
Louisiana,9,GMC Yukon,2003,125
Missouri,1,Ford Pickup (Full Size),2004,880
New York,4,Nissan Altima,2015,374
Wisconsin,6,Dodge Stratus,2002,209
Washington,4,Acura Integra,1994,640
Oklahoma,8,Chevrolet Pickup (Small Size),1998,127
Massachusetts,6,Ford Pickup (Full Size),2004,178
Kentucky,10,Chevrolet Pickup (Small Size),2000,79
South Dakota,7,Jeep Cherokee/Grand Cherokee,1999,17
Vermont,4,Honda Civic,2005,6
Minnesota,1,Honda Civic,1998,50
Arkansas,6,Nissan Altima,2015,3000
Virginia,8,Ford Explorer,2002,543
Maine,2,VW Golf,2021,6
Virginia,7,Toyota Corolla,2013,900
Minnesota,2,Honda Accord,1997,20
New York,5,Seat Leon,2019,11
North Dakota,9,Pontiac Grand Am,2000,2100
